ID,이름,위도,경도,분류코드,지역코드
271,류니끄,37.52075756,127.0216239,2,1
272,인사동사과나무,37.57502283,126.9855201,2,1
273,봉파레트,37.58858548,127.0044125,2,1
274,브릭버거,37.51113228,127.0981784,2,1
275,정진석의달인파스타,37.5333984,126.9025622,2,1
276,라브리,37.57373392,126.97576,2,1
277,10꼬르소꼬모 청담점,37.52696555,127.0424469,2,1
278,누브티스,37.59633445,126.9971907,2,1
279,톰볼라,37.49884301,126.9974601,2,1
280,올드델리,37.65612317,127.0652772,2,1
281,보나세라,37.5236797,127.0356448,2,1
282,비엘티스테이크 JW메리어트동대문스퀘어서울,37.57037101,127.0087987,2,1
283,까볼로 연신내,37.61871377,126.9183306,2,1
284,소금집델리 안국,37.5795001,126.9862588,2,1
285,스테이터,37.50303194,127.026899,2,1
286,스카이 라운지,37.51292855,127.0570876,2,1
287,파르미이탈리아노,37.55782674,126.9371445,2,1
288,울프강스테이크하우스,37.52449915,127.0414776,2,1
289,라칸티나,37.56629874,126.9799265,2,1
290,슬로우가든,37.59294039,126.9967242,2,1
291,라시에스타,37.47638986,126.9865478,2,1
292,윤씨밀방 (외국어사이트용),37.54971075,126.9223877,2,1
293,청담나인,37.51669191,127.0518796,2,1
294,메종한남,37.53430861,127.0129521,2,1
295,IOU,37.53522396,126.9456499,2,1
296,리틀넥한남,37.53965503,127.0030279,2,1
297,알바이신,37.58712169,127.000124,2,1
298,바토스,37.53469704,126.9901736,2,1
299,엔그릴,37.55110899,126.9878984,2,1
300,오만지아,37.53403359,127.0098635,2,1
301,파크 하얏트 서울 코너스톤,37.50871528,127.0642648,2,1
302,로씨니,37.57843633,126.9858533,2,1
303,카나디안 랍스터,37.48016487,127.0113149,2,1
304,루카511,37.52701284,127.046877,2,1
305,우뇽뚝배기스파게티,37.50636649,126.9616743,2,1
306,엘 샌드위치,37.57506165,126.9817594,2,1
307,까르니두브라질 강남역,37.49740764,127.02971,2,1
308,페넬로페,37.6379523,127.0231983,2,1
309,갓잇,37.52538783,127.035517,2,1
310,제스티살룬 연남,37.56175943,126.9268925,2,1
311,그란구스또,37.50196876,127.0595766,2,1
312,메이다이닝,37.67799786,127.0353932,2,1
313,나인온스버거,37.47740868,126.958367,2,1
314,더라운지 JW메리어트동대문스퀘어서울,37.57037101,127.0087987,2,1
315,벨라스가든,37.51014365,127.1063249,2,1
316,지아니스나폴리 역삼,37.50272383,127.0375924,2,1
317,마노디셰프 명동,37.56350747,126.9837901,2,1
318,라 쿠치나,37.54060203,126.9964729,2,1
319,더콘서트,37.49236077,127.0164308,2,1
320,참숲,37.55484609,126.9125746,2,1
321,멜팅샵X치즈룸,37.57104817,126.9789292,2,1
322,마리오네,37.53979487,127.056923,2,1
323,르블란서,37.57295093,126.9902364,2,1
324,멕시칼리,37.55279671,127.0884892,2,1
325,로리스 더 프라임 립,37.49816026,127.0259381,2,1
326,에이든,37.56198993,126.9251816,2,1
327,썬더버드 청담점,37.52624062,127.0417164,2,1
328,지금 여기가 맨 앞,37.56573797,126.9952584,2,1
329,컨시더,37.56644766,126.9204208,2,1
330,라이스앤파스타,37.51262385,127.1025779,2,1
331,그린치킨닥터,37.59583564,127.0602433,2,1
332,그린프루츠,37.50931205,126.8880559,2,1
333,비스티버거,37.53248927,127.007161,2,1
334,보니스피자펍,37.54124345,126.9869487,2,1
335,코지인무르무르,37.59151933,127.0519775,2,1
336,워킹온더클라우드,37.51969511,126.9399231,2,1
337,봄솔레씨네,37.5839147,127.0541692,2,1
338,뉴웨이브서울,37.54176156,127.0707994,2,1
339,도깨비코티지,37.5533252,126.9770715,2,1
340,메종브리크,37.56200939,126.9259843,2,1
341,치우,37.54341663,127.0544148,2,1
342,시멘트,37.53590821,127.0012393,2,1
343,비바서울,37.64032147,127.0233343,2,1
344,더 페이머스 버거,37.55054949,126.9195991,2,1
345,래리더버드,37.56229944,126.9926476,2,1
346,다운타우너 청담,,,2,1
347,릴즈,37.56958537,127.0295774,2,1
348,묘한식탁,37.55050488,126.909725,2,1
349,한옥달,37.57697792,126.9720047,2,1
350,파스타얼론,37.59776549,127.0331346,2,1
351,아이엠어버거,37.55420759,126.9299841,2,1
352,더 킹스,37.56058314,127.0021024,2,1
353,HEMLAGAT (헴라갓),37.55658603,126.9824154,2,1
354,꼴라주,37.50497018,127.0032288,2,1
355,오엔(ON),37.5276678,127.017613,2,1
356,아델라베일리,37.5952452,126.9701876,2,1
357,다래함박스텍,37.63282782,127.0190571,2,1
358,르프리크,37.54449147,127.0526732,2,1
359,볼피노,37.52353806,127.0364253,2,1
360,피에르 가니에르,37.56535165,126.9809819,2,1
361,터치더스카이,37.51964234,126.9399203,2,1
362,에이치 450(h' 450),37.5287373,127.0277093,2,1
363,63뷔페 파빌리온,37.51980343,126.9401647,2,1
364,알라또레 (홍대점),37.55346591,126.9247318,2,1
365,라미띠에 (외국어사이트용),37.52602681,127.044605,2,1
366,1940금문,37.58546078,127.000624,3,1
367,금룡,37.52926866,126.920869,3,1
368,신생루,37.49597671,126.8442325,3,1
369,개화,37.56212426,126.9816486,3,1
370,만다린,37.5295432,126.8973628,3,1
371,미차이,37.62821539,127.070272,3,1
372,경발원,37.59046962,127.0612572,3,1
373,희원,37.57676603,126.9275226,3,1
374,매화반점,37.53841468,127.067947,3,1
375,완차이,37.55871279,126.9393526,3,1
376,신대방 닭갈비구이,37.48785664,126.9118182,3,1
377,램랜드,37.54348955,126.9388919,3,1
378,청와옥 을지로3가 직영점,37.56607395,126.9900866,3,1
379,신승관,37.57089821,126.9799374,3,1
380,마라탄탄면,37.56126883,126.983343,3,1
381,여의도 양꼬치,37.52177796,126.9266298,3,1
382,향림,37.64044184,127.0751962,3,1
383,다리원,37.58690622,126.9107655,3,1
384,홍명,37.51458342,127.0294873,3,1
385,할범탕수육,37.54858486,126.8653874,3,1
386,가문,37.63682465,127.0226983,3,1
387,정통중화요리조아루 명동,37.56060226,126.9844345,3,1
388,청도양꼬치,37.51800586,126.9086593,3,1
389,해안반점,37.55273634,127.1294993,3,1
390,쎄쎄,37.65063676,127.0134599,3,1
391,도일처,37.56205449,126.8077562,3,1
392,디앤제이 (DNJ),37.64663004,127.0768264,3,1
393,열빈,37.52092815,126.9313238,3,1
394,가야성,37.56655442,126.988534,3,1
395,대상해,37.56783461,126.976249,3,1
396,마쵸마라,37.56981785,126.9841176,3,1
397,영화장,37.59663556,127.0609599,3,1
398,홍원,37.55522146,126.9354447,3,1
399,어양,37.5165236,127.1139268,3,1
400,초류향,37.56747639,126.9804042,3,1
401,길림성,37.50867643,126.9111177,3,1
402,신대성각,37.468526,126.9369553,3,1
403,포담,37.5793665,126.9705964,3,1
404,홍루몽,37.4847588,127.0127369,3,1
405,금용문,37.57277011,126.9740157,3,1
406,백원,37.53206003,126.9227854,3,1
407,신길양꼬치,37.51149002,126.9127425,3,1
408,스타쉐프,37.48529265,127.0449145,3,1
409,이닝,37.52239939,127.0412777,3,1
410,동방양꼬치,37.56281486,127.0813506,3,1
411,오구반점,37.56659333,126.9899061,3,1
412,명성,37.52825171,126.8987488,3,1
413,성민양꼬치 서울대입구,37.47978334,126.9547673,3,1
414,아리차이,37.48769029,126.9282973,3,1
415,일일향(日日香),37.52351296,127.030623,3,1
416,루위,37.52342958,127.0275983,3,1
417,루이,37.56832066,126.9758879,3,1
418,JS가든 잠원점,37.51287495,127.0106835,3,1
419,도성,37.57850272,126.9707936,3,1
420,도성,37.57850272,126.9707936,3,1
421,호재래,37.55714323,127.0776511,3,1
422,만보성,37.57294821,126.993089,3,1
423,대성관 대방동,37.50514094,126.922639,3,1
424,동방명주(잠실),37.52010041,127.0828434,3,1
425,신강양꼬치,37.490297,127.0099037,3,1
426,청키면가 무교점,37.56804301,126.981168,3,1
427,모던눌랑,37.50447032,127.0078368,3,1
428,희래등,37.51226527,126.9317213,3,1
429,옛날중국집,37.59080745,127.0043791,3,1
430,동흥관,37.45801816,126.8964843,3,1
431,대문점,37.5185919,126.9085565,3,1
432,중국관,37.53862554,127.0553898,3,1
