ID,이름,위도,경도,지역코드
518,제주 캐슬렉스 골프텔,33.33837043,126.3487281,3
519,해비치리조트,33.32151352,126.8447466,3
520,호텔레오,33.48975312,126.4882625,3
521,호텔 서귀피안,33.24442074,126.5905592,3
522,솔트,33.46703656,126.3363346,3
523,제주브릭스,33.24464207,126.5357834,3
524,천지연크리스탈호텔,33.24237329,126.5620756,3
525,해성파크텔,33.25231164,126.421357,3
526,칠십리호텔,33.24721164,126.5612422,3
527,오션힐스테이,33.23680325,126.3088144,3
528,엠제이호텔,33.48904487,126.4884153,3
529,엠버리조트,33.423616,126.4890612,3
530,나이스호텔,33.48300314,126.4423834,3
531,까사 데 비발디,33.23414215,126.2905188,3
