ID,이름,위도,경도,지역코드
526,국회의사당,37.5319710006,126.9142167446,1
527,명동 남대문 북창동 다동무교동 관광특구,37.5599771733,126.9753048316,1
528,약수사(서울),37.4595603285,126.9344613837,1
529,갈산근린공원,37.5061176314,126.8684105358,1
530,자양동 양꼬치거리 (중국음식문화거리),37.5393839589,127.0651972268,1
531,명성황후 조난지,37.5774168614,126.9779874266,1
532,브이알존 큐브 강남점,37.4999239403,127.0255686191,1
533,덕수궁,37.5661486714,126.9749296905,1
534,일자산허브천문공원,37.5373496895,127.1542252927,1
535,해풍부원군윤택영댁재실,37.5583638148,126.9944031366,1
536,스파 도향,37.5082981035,127.0331260275,1
537,방화대교,37.5876685005,126.8256843610,1
538,KT스퀘어,37.5722035751,126.9778070347,1
539,디지털 파빌리온,37.5795344793,126.8897676324,1
540,청계천 버들습지,37.5724768470,127.0379904319,1
541,삼각산,37.6582465830,126.9909006206,1
542,서울 운현궁,37.5764588036,126.9871421746,1
543,스파레이,37.5178689471,127.0182354456,1
544,대한제국군 서울시가 전투지,37.5607020615,126.9737577300,1
545,달마사(서울),37.4985229748,126.9626521644,1
546,난지천공원,37.5725158027,126.8870625217,1
547,보신각 터,37.5698150675,126.9835760212,1
548,윌리엄해밀턴쇼 동상,37.6056986983,126.9229971951,1
549,목멱산봉수대터,37.5523504964,126.9872817336,1
550,서울 연세대학교 언더우드관,37.5649231574,126.9383080636,1
551,잠실한강공원,37.5210783227,127.0969170819,1
552,응봉산(서울),37.5471796096,127.0281781551,1
553,호국무공수훈자공적비,37.4846647857,127.4955374641,1
554,"서울 의릉(경종,선의왕후) [유네스코 세계문화유산]",37.6035486003,127.0582349259,1
555,청와대,37.5839799278,126.9746792089,1
556,홍릉수목원,37.5924523515,127.0406812854,1
557,북촌 8경,37.5791612548,126.9864254967,1
558,탄천,37.4931289104,127.1036172651,1
559,서울 약현성당,37.5591437954,126.9674194623,1
560,나석주의사동상,37.5655100385,126.9850482312,1
561,청담패션거리,37.5259073966,127.0457632671,1
562,한강시민공원 뚝섬지구(뚝섬한강공원),37.5294074983,127.0739744885,1
563,거북선나루터,37.5182707714,126.9676539295,1
564,용왕정,37.5461658142,126.8717257737,1
565,장충단공원,37.5576029665,127.0041161624,1
566,감로암(서울),37.5753148419,127.0066015446,1
567,문화철도 959,37.5089677083,126.8912917045,1
568,약사사(서울),37.5869209605,126.8029808981,1
569,용굴암(서울),37.6878781158,127.0822469969,1
570,북서울 꿈의숲,37.6233876457,127.0407498436,1
571,채석장 전망대,37.5763592720,127.0125537510,1
572,서울 고려대학교 중앙도서관,37.5898997105,127.0317877244,1
573,남강이승훈선생동상,37.5488358400,127.0763931608,1
574,망우산(서울),37.5942810870,127.1056030968,1
575,서울 석촌동 고분군,37.5021945110,127.1028309684,1
576,시간을 담다,37.5627326749,126.9901422899,1
577,무중력지대 양천,37.5246489705,126.8773230917,1
578,서울 정릉(신덕왕후) [유네스코 세계문화유산],37.6023505830,127.0063452451,1
579,서울 동관왕묘,37.5727625733,127.0184394274,1
580,우당 이회영 선생 흉상,37.5648934636,126.9861287059,1
581,"지양산(무장애숲길,유아숲체험원)",37.5210179822,126.8293886741,1
582,3.1독립운동기념탑,37.5529562386,127.0015748587,1
583,중앙고등학교,37.5841440162,126.9868503170,1
584,만해한용운심우장,37.5936180016,126.9916690530,1
585,온수공원,37.4996372593,126.8364636294,1
586,서촌마을,37.5781277997,126.9729684191,1
587,방이동 생태경관 보전지역,37.5120857057,127.1403911599,1
588,이충순 자결 터,37.5615435807,126.9709774034,1
589,푸른수목원&항동철길,37.4830806290,126.8240846662,1
590,길상사(서울),37.5990951960,126.9946241836,1
591,조계사(서울),37.5738701204,126.9818371759,1
592,서울 삼각지 대구탕 골목,37.5344523297,126.9735279372,1
593,세종로공원,37.5734839509,126.9760710456,1
594,3.1독립선언기념탑,37.5745084649,126.9556062153,1
595,장충동 족발 골목,37.5604832175,127.0057825956,1
596,순명비유강원석물,37.5488358400,127.0763931608,1
597,경찰혼,37.5263408571,126.9006431406,1
598,서울 영휘원(순헌황귀비)과 숭인원(이진),37.5896471740,127.0435644361,1
599,경희궁 흥화문,37.5704814320,126.9710493661,1
600,신천 어린이교통공원,37.5160067765,127.1017390089,1
